אָב|<a>v|father
אוֹ|<o>|or
אֲווִיר|av<i>r|air
לְהָאִיט|leha'<i>t|to slow down
תַּאֲווָה|ta'av<a>|lust, desire, passion
לְאַוּוֹת|le'av<o>t|to desire, to want (archaic)
לְהִתְאַוּוֹת|lehit'av<o>t|to crave, to yearn for, to lust (lit.) (ל-)
אוּלַי|ul<a>y|maybe, perhaps
אוּנִיבֶרְסִיטָה|univ<e>rsita|university
לָאוּץ|la'<u>tz|to make haste, to hurry
לְהָאִיץ|leha'<i>tz|to urge, to speed up
לְהָאִיר|leha'<i>r|to illuminate, to shine
אוֹר|<o>r|light
תְּאוּרָה|te'ur<a>|lighting, illumination
מְאוּרָה|me'ur<a>|den, lair, hole
מָאוֹר|ma'<o>r|celestial body, star (biblical); lighting; brightness, glow
לְאַווְרֵר|le'avr<e>r|to ventilate, to aerate
לְהִתְאַווְרֵר|lehit'avr<e>r|to be ventilated, to take a fresh air
אִיווְרוּר|ivr<u>r|ventilation, airing
לְאַווְשֵׁשׁ|le'avsh<e>sh|to rustle, to murmur (lit.)
אִיווְשׁוּשׁ|ivsh<u>sh|rustle, murmur (lit.)
לְהֵיאוֹת|lehe'<o>t|to agree, to consent, to be proper
לְאוֹתֵת|le'ot<e>t|to signal, to beacon
אוֹת|<o>t|letter (of an alphabet)
אוֹת|<o>t|signal, sign; badge, medal; omen, indication
אָז|<a>z|then; in that case; so
לְאַזְכֵּר|le'azk<e>r|to mention, to cite, to make reference to
לֶאֱזוֹל|le'ez<o>l|to run out, to cease, to be exhausted
לְהַאֲזִין|leha'az<i>n|to listen (music, radio), to heed
לְאַזֵּן|le'az<e>n|to balance, to offset
לְהִתְאַזֵּן|lehit'az<e>n|to balance, to be balanced
אוֹזֶן|<o>zen|ear (anatomy)
הַאֲזָנָה|ha'azan<a>|listening
אִיזּוּן|iz<u>n|balance, equilibrium
לֶאֱזוֹק|le'ez<o>k|to handcuff, to bind with handcuffs (את)
לְהִתְאַזֵּר|lehit'az<e>r|to gird oneself, to girdle
אֵזוֹר|ez<o>r|zone, region, area
לֶאֱזוֹר|le'ez<o>r|to gird, to put on (a belt)
אָח|<a>ch|brother
לְאַחֵד|le'ach<e>d|to unite
לְהִתְאַחֵד|lehit'ach<e>d|to be united, to unite (with)
אַחְדוּת|achd<u>t|unity, unification
אִיחוּד|ich<u>d|unity, unification
הִתְאַחֲדוּת|hit'achad<u>t|association, federation; unification
אָחִיד|ach<i>d|homogeneous, uniform; standard, constant
לְהַאֲחִיד|leha'ach<i>d|to unify, to coalesce
מְאוּחָד|me'uch<a>d|united
הַאֲחָדָה|ha'achad<a>|unification, coalescence
אָחוֹת|ach<o>t|sister
לֶאֱחוֹז|le'ech<o>z|to grip, to grasp, to hold (ב-)
לְהֵיאָחֵז|lehe'ach<e>z|to hold on (ב-)
לְאַחוֹת|le'ach<o>t|to stitch together; to unite (rare)
לְהִתְאַחוֹת|lehit'ach<o>t|to heal (fractured bones, damaged tissues); to be joined together
אַחְייָן|achy<a>n|nephew
אַחְייָנִית|achyan<i>t|niece
לְאַחֵל|le'ach<e>l|to wish, to congratulate
לְאַחְסֵן|le'achs<e>n|to store
אִיחְסוּן|ichs<u>n|storage
לְאַחֵר|le'ach<e>r|to be late
אָחוֹר|ach<o>r|back, rear part (lit.)
אַחַר|ach<a>r|after
אָחוֹרָה|ach<o>ra|backwards
מֵאֲחוֹרֵי|me'achor<e>i|behind
אֲחוֹרַייִם|achor<a>yim|buttocks, backside
אַחֵר|ach<e>r|other, another, different
אַחֲרוֹן|achar<o>n|last
לְהִתְאַחֵר|lehit'ach<e>r|to be late, to get late
אִיטִּי|it<i>|slow; prolonged
אַט|<a>t|slowly (lit.)
לְהָאֵט|leha'<e>t|to slow down, to retard
לֶאֱטוֹם|le'et<o>m|to seal, to close
לְהֵיאָטֵם|lehe'at<e>m|to be sealed, closed up
אִי|<i>|island
אוֹיֵב|oy<e>v|enemy
אֵיבָה|eiv<a>|hatred, loathing
לְאַייֵּד|le'ay<e>d|to vaporize, to evaporate
אַיָּה|ay<a>|buzzard, Pernis (bird)
אֵיךְ|<e>ich|how
אֵיכוּת|eich<u>t|quality
אִילּוּ|<i>lu|if, if only
אִיּוּם|iy<u>m|threat, menace
לְאַייֵּם|le'ay<e>m|to threaten, to menace (על)
אֵימָה|eim<a>|terror, fear
אֵין|<e>in|there is not; is not
לְאַייֵּן|le'ay<e>n|to liquidate, to exterminate
אֵיפֹה|<e>ifo|where?
אִיּוּר|iy<u>r|illustration
לְאַייֵּר|le'ay<e>r|to illustrate
לְאַייֵּשׁ|le'ay<e>sh|to man, to staff
לְאַייֵּת|le'ay<e>t|to spell (a word)
לְאַכְזֵב|le'achz<e>v|to disappoint, to let down
לְהִתְאַכְזֵב|lehit'achz<e>v|to be disappointed
מְאוּכְזָב|me'uchz<a>v|disappointed
לְהִתְאַכְזֵר|lehit'achz<e>r|to be cruel, to ill treat (אל)
לֶאֱכוֹל|le'ech<o>l|to eat
לְהֵיאָכֵל|lehe'ach<e>l|to be eaten
לְאַכֵּל|le'ak<e>l|to corrode, to erode
לְהַאֲכִיל|leha'ach<i>l|to feed (ב- ,את)
אוֹכֶל|<o>chel|food
אַכְלָן|achl<a>n|glutton
לְאַכְלֵס|le'achl<e>s|to populate
לְאַכְסֵן|le'achs<e>n|to lodge, to accommodate
לְהִתְאַכְסֵן|lehit'achs<e>n|to stay, to lodge
לֶאֱכוֹף|le'ech<o>f|to enforce, to impose
לְהֵיאָכֵף|lehe'ach<e>f|to be enforced, to be imposed
אִכְפַּת|ichp<a>t|to concern, to worry, to have to do about (ל-)
אֶל|<e>l|to, towards, into
אַל|<a>l|don't (used for negative command)
אֵלֶה|<e>le|these
אַלָּה|al<a>|stick, club, bat
אֵלוּ|<e>lu|these
אֱלוֹהִים|eloh<i>m|God (Judaism)
לְאַלְחֵשׁ|le'alch<e>sh|to anesthetize
אֲלַכְסוֹן|alachs<o>n|diagonal
לְהֵיאָלֵם|lehe'al<e>m|to be dumbfounded
אַלִּים|al<i>m|violent
אִילֵּם|il<e>m|mute, dumb (unable to speak)
אַלְמוֹנִי|almon<i>|anonymous
לְהִתְאַלְמֵן|lehit'alm<e>n|to become widowed
לְאַלֵּף|le'al<e>f|to tame, to train
אֶלֶף|<e>lef|thousand
אַלּוּף|al<u>f|champion; general (military)
לְהֵיאָלֵץ|lehe'al<e>tz|to be obliged
לְאַלֵּץ|le'al<e>tz|to force, to compel
אִילּוּץ|il<u>tz|constraint, forcing, compulsion
לְאַלְתֵּר|le'alt<e>r|to improvise
אֵם|<e>m|mother
אִם|<i>m|if; whether
אִמָּא|<i>ma|mom, mother
לֶאֱמוֹד|le'em<o>d|to estimate, to gauge
לְהֵיאָמֵד|lehe'am<e>d|to be estimated
אָמִיד|am<i>d|wealthy, affluent
לְאַמְלֵל|le'aml<e>l|to sadden, to make miserable
לְהֵיאָמֵן|lehe'am<e>n|to be credible, loyal, faithful
לְהַאֲמִין|leha'am<i>n|to believe, to trust
לְהִתְאַמֵּן|lehit'am<e>n|to train, to practise
מְאַמֵּן|me'am<e>n|coach, trainer
אוּמָּן|um<a>n|craftsman, artisan
אוֹמְנָם|omn<a>m|indeed, truly
אִימּוּן|im<u>n|training, exercise, practice
לְאַמֵּן|le'am<e>n|to train, to coach someone
אָמִין|am<i>n|authentic, true; reliable, trustworthy
אוֹמָּן|om<a>n|artist
אוֹמָּנוּת|oman<u>t|art
אֱמוּנָה|emun<a>|faith, trust, confidence
אָמֵן|am<e>n|amen (liturgy)
אוּמָּנוּת|uman<u>t|craft, trade, occupation
לְאַמֵּץ|le'am<e>tz|to adopt; to support, to encourage, to strengthen
לְהִתְאַמֵּץ|lehit'am<e>tz|to strain, to endeavour
לֶאֱמוֹץ|le'em<o>tz|to take courage, to be courageous (archaic)
אַמִּיץ|am<i>tz|brave, courageous
מַאֲמָץ|ma'am<a>tz|effort, strain
אוֹמֶץ|<o>metz|bravery, courage, valour
אָמוּר|am<u>r|should, supposed to; mentioned
לְהֵיאָמֵר|lehe'am<e>r|to be said
לְהַאֲמִיר|leha'am<i>r|to soar, to skyrocket
אִמְרָה|imr<a>|saying, expression
לוֹמַר|lom<a>r|to say, to tell (in the infinitive, imperative and future tense לְהַגִּיד is used instead)
מַאֲמָר|ma'am<a>r|article, text; saying, expression
לְהַאֲמִיר|leha'am<i>r|to soar, to increase (of prices)
לְאַמֵּת|le'am<e>t|to verify, to validate
לְהִתְאַמֵּת|lehit'am<e>t|to be verified
אֲמִיתִּי|amit<i>|true, correct, real; genuine, original
אֲמִיתָּה|amit<a>|truth; axiom
אֱמֵת|em<e>t|truth
אִימּוּת|im<u>t|verification, validation
אֲמִיתּוּת|amit<u>t|veracity, truthfulness
אָנוּ|<a>nu|we <em>(formal)</em>
אֲנוֹכִי|anoch<i>|I <em>(biblical, poetic)</em>
לְהֵיאָנֵחַ|lehe'an<e>ach|to sigh
לְהִתְאַנֵּחַ|lehit'an<e>ach|to moan
אֲנַחְנוּ|an<a>chnu|we
אֲנִי|an<i>|I
לְאַנּוֹת|le'an<o>t|to cause, to induce (rare)
אֳנִייָּה|oniy<a>|ship, boat, vessel
לְהִתְאוֹנֵן|lehit'on<e>n|to complain, to grumble
לְאוֹנֵן|le'on<e>n|to masturbate; to be lazy, to mess around (slang)
לֶאֱנוֹס|le'en<o>s|to rape
לְהֵיאָנֵס|lehe'an<e>s|to be raped
לְהֵיאָנֵק|lehe'an<e>k|to moan
אִישִׁיּוּת|ishiy<u>t|personality, individuality, persona
אִישִׁי|ish<i>|personal, prívate, individual
אִישִׁית|ish<i>t|personally
אִישׁ|<i>sh|man, person; husband (rare); anybody, nobody (formal, in negative constructions)
אִישָּׁה|ish<a>|woman, wife
אֱנוֹשׁ|en<o>sh|man, human (in idioms)
אָסוֹן|as<o>n|tragedy, catastrophe
אַסְטְרוֹנוֹמְיָה|astron<o>mya|astronomy
אַסְלָה|asl<a>|toilet bowl
לְהִתְאַסְלֵם|lehit'asl<e>m|to convert to Islam
לְהֵיאָסֵף|lehe'as<e>f|to be collected
לְהִתְאַסֵּף|lehit'as<e>f|to assemble, to congregate
אוֹסֶף|<o>sef|collection, assortment
אַסְפָן|asf<a>n|collector (of stamps, etc.)
לֶאֱסוֹף|le'es<o>f|to collect, to pick up, to reap
לְהֵיאָסֵר|lehe'as<e>r|to be prohibited, to be imprisoned
אִיסּוּר|is<u>r|prohibition, ban
אָסוּר|as<u>r|prohibited, forbidden
אָסִיר|as<i>r|prisoner
לֶאֱסוֹר|le'es<o>r|to prohibit, to ban; to imprison
לְהֵיאָפוֹת|lehe'af<o>t|to be baked
לֶאֱפוֹת|le'ef<o>t|to bake
אֲפִילּוּ|af<i>lu|even
לְאַפְייֵן|le'afy<e>n|to characterise
לְהִתְאַפְייֵן|lehit'afy<e>n|to be characterised
לְהַאֲפִיל|leha'af<i>l|to obscure, to obfuscate (על)
אָפֵל|af<e>l|dark, sombre
אֲפֵלָה|afel<a>|darkness; despair, despondency
אוֹפְנָה|ofn<a>|fashion, vogue
אוֹפֶן|<o>fen|method, fashion, manner
לְאַפְנֵן|le'afn<e>n|to modulate
לֶאֱפוֹס|le'ef<o>s|to be exhausted (<em>generally used in the past tense, 3rd person only</em>)
לְאַפֵּס|le'ap<e>s|to nullify, to equate to zero
אֶפֶס|<e>fes|zero; nothing
לְהִתְאַפֵּס|lehit'ap<e>s|to regain one's senses (slang); to be zeroed, calibrated (of a device)
אַפְסִי|afs<i>|tiny, insignificant
לֶאֱפוֹף|le'ef<o>f|to surround, to encircle
אַף|<a>f|nose
אוֹפֶק|<o>fek|horizon
לְהִתְאַפֵּק|lehit'ap<e>k|to hold in, to refrain, to abstain
לְהַאֲפִיר|leha'af<i>r|to become grey; to make grey
לְאַפֵּר|le'ap<e>r|to make up the face
לְהִתְאַפֵּר|lehit'ap<e>r|to make up one's face
אָפוֹר|af<o>r|grey
לְהִתְאַפְשֵׁר|lehit'afsh<e>r|to become possible
אֶפְשָׁר|efsh<a>r|possible; permitted
לְאַפְשֵׁר|le'afsh<e>r|to make possible, to enable, to let
אֶפְשָׁרִי|efshar<i>|possible
אֵצֶל|<e>tzel|at, in the possession of; near
לְהַאֲצִיל|leha'atz<i>l|to delegate (authority)
אוֹצָר|otz<a>r|treasure; hoard, stash; treasury
לֶאֱצוֹר|le'etz<o>r|to stash, to hoard, to keep as a treasure
לְהִתְאַקְלֵם|lehit'akl<e>m|to acclimatise
אֲרוּבָּה|arub<a>|chimney
לֶאֱרוֹב|le'er<o>v|to lurk, to ambush (ל-)
לֶאֱרוֹג|le'er<o>g|to weave
לְהֵיאָרֵג|lehe'ar<e>g|to be woven
לְאַרְגֵּן|le'arg<e>n|to organise, to arrange
לְהִתְאַרְגֵּן|lehit'arg<e>n|to be organised, arranged
אִירְגּוּן|irg<u>n|organisation, entity
אָרוֹן|ar<o>n|cupboard, closet
לֶאֱרוֹז|le'er<o>z|to pack, to tie
אֶרֶז|<e>rez|cedar
אֲרִיזָה|ariz<a>|package, packaging; container
לְהֵיאָרֵז|lehe'ar<e>z|to be packed, tied
אוֹרֶז|<o>rez|rice
לְאָרֵחַ|le'ar<e>ach|to host, to accommodate
לְהִתְאָרֵחַ|lehit'ar<e>ach|to visit, to stay
אוֹרֵחַ|or<e>ach|guest
אֲרוּחָה|aruch<a>|meal
אוֹרַח|<o>rach|way, path (archaic); style, manner (אורח חיים - life style)
לֶאֱרוֹת|le'er<o>t|to harvest, to pick (figs) (archaic)
לֶאֱרוֹךְ|le'er<o>ch|to last, to endure
לְהַאֲרִיךְ|leha'ar<i>ch|to extend, to prolong
לְהִתְאָרֵךְ|lehit'ar<e>ch|to be extended, to last
אוֹרֶךְ|<o>rech|length; duration
אַרְכָּה|ark<a>|postponement, extension
אָרוֹךְ|ar<o>ch|long
אַרְמוֹן|arm<o>n|palace
אוֹרֶן|<o>ren|pine
אַרְנָב|arn<a>v|hare; rabbit
לְהִתְאָרֵס|lehit'ar<e>s|to become engaged, betrothed (marriage)
לְאָרֵעַ|le'ar<e>a|to happen
אֵירוּעַ|er<u>a|event, occasion
אֶרֶץ|<e>retz|land; country
לְהַאֲרִיק|leha'ar<i>k|to ground, to earth
לְאָרֵר|le'ar<e>r|to curse (archaic)
לָאוֹר|la'<o>r|to curse (biblical)
אֵשׁ|<e>sh|fire, flame; fire (military)
לְהַאֲשִׁים|leha'ash<i>m|to blame, to accuse
לְהֵיאָשֵׁם|lehe'ash<e>m|to be accused, held liable (ב-)
אַשְׁמָה|ashm<a>|guilt, fault
אָשֵׁם|ash<e>m|guilty
לֶאְשׁוֹם|le'esh<o>m|to sin, to be guilty (archaic)
אֶשְׁנָב|eshn<a>v|small window, hatch
אַשָּׁף|ash<a>f|expert; wizard
לְאַשְׁפֵּז|le'ashp<e>z|to hospitalise
לְהִתְאַשְׁפֵּז|lehit'ashp<e>z|go to hospital, check into hospital
לְאַשֵּׁר|le'ash<e>r|to approve, to confirm, to authorise
אִישּׁוּר|ish<u>r|approval, authorization
אָשׁוּר|ash<u>r|beech (rare)
אֲשֶׁר|ash<e>r|that, which
מְאוּשָּׁר|me'ush<a>r|happy, contented
אוֹשֶׁר|<o>sher|happiness, bliss
לְהִתְאוֹשֵׁשׁ|lehit'osh<e>sh|to recover, to regain strength
לְאוֹשֵׁשׁ|le'osh<e>sh|to encourage, to help recover
לְאַשֵּׁשׁ|le'ash<e>sh|to strengthen; to establish
הִתְאוֹשְׁשׁוּת|hit'oshesh<u>t|recovery, recuperation
לְהִתְאוֹשֵׁשׁ|lehit'osh<e>sh|to get over, to come around
אֶת|<e>t|(used before a definite direct object)
אַתְּ|<a>t|you <em>(feminine, singular)</em>
לְאַתְגֵּר|le'atg<e>r|to challenge
מְאוּתְגָּר|me'utg<a>r|challenged, handicapped
אַתָּה|at<a>|you <em>(masculine, singular)</em>
לְאַתְחֵל|le'atch<e>l|to reboot, to boot (a computer)
אַתֶּם|at<e>m|you <em>(masculine, plural)</em>
אֶתְמוֹל|etm<o>l|yesterday
אַתֶּן|at<e>n|you <em>(feminine, plural)</em>
לְאַתֵּר|le'at<e>r|to locate, to localise
אֶתְרוֹג|etr<o>g|etrog (Judaism)
בְּ־|be|in; by
בְּאֶמְצָעוּת|be'emtza'<u>t|by means of, using
מְבוּאָס|mevu'<a>s|depressed, despondent (slang)
לְבַאֵס|leva'<e>s|to upset, to depress (slang)
לְהִתְבָּאֵס|lehitba'<e>s|to be upset, depressed (slang)
לְבָאֵר|leva'<e>r|to explain, to clarify
לְהִתְבָּאֵר|lehitba'<e>r|to become clear, to be clarified
בְּאֵר|be'<e>r|well
בֶּגֶד|b<e>ged|piece of clothing; clothes
לְהִיבָּגֵד|lehibag<e>d|to be betrayed, cheated upon
לִבְגּוֹד|livg<o>d|to betray, to cheat on (ב-)
בְּגִין|beg<i>n|due to, because of
בִּגְלַל|bigl<a>l|because of, due to
הִתְבַּגְּרוּת|hitbagr<u>t|maturation, growing up
בַּגְרוּת|bagr<u>t|maturity, adulthood
מְבוּגָּר|mevug<a>r|adult, grown-up
לְהִתְבַּגֵּר|lehitbag<e>r|to grow up, to come of age
לִבְגּוֹר|livg<o>r|to mature, to achieve adulthood
בַּד|b<a>d|cloth, fabric; screen
לִבְדּוֹא|livd<o>|to fabricate, to devise
לְבוֹדֵד|levod<e>d|to isolate, to segregate
לְהִתְבּוֹדֵד|lehitbod<e>d|to retire, to be in recluse
בַּד|b<a>d|branch (of a tree) (lit.); part of an olive press
לְבַדֵּד|levad<e>d|to insulate, to isolate (from electricity)
לְבַד|lev<a>d|alone
בֶּדוּאִי|b<e>du'i|Bedouin
לְבַדֵּחַ|levad<e>ach|to amuse
לְהִתְבַּדֵּחַ|lehitbad<e>ach|to joke, to make merry
בְּדִיחָה|bdich<a>|joke
לִבְדּוֹת|livd<o>t|to make up, to fabricate
לְהִיבָּדוֹת|lehibad<o>t|to be made up, fabricated
בִּדְיוֹן|bidy<o>n|fiction
בָּדוּי|bad<u>y|fabricated, made-up
בִּדְיוֹנִי|bidyon<i>|fictional
לְבַדּוֹת|levad<o>t|to make up, to fabricate (rare)
לְהִיבָּדֵל|lehibad<e>l|to be separated, differentiated
לְהַבְדִּיל|lehavd<i>l|to separate, to distinguish
לְבַדֵּל|levad<e>l|to isolate, to separate
הֶבְדֵּל|hevd<e>l|difference
הַבְדָּלָה|havdal<a>|separation, distinction; Havdalah (Judaism)
לְהִתְבַּדֵּל|lehitbad<e>l|to differentiate, to be differentiated; to be aloof
לִבְדּוֹק|livd<o>k|to check, to examine
לְהִיבָּדֵק|lehibad<e>k|to be tested, examined
מִבְדָּק|mivd<a>k|test, examination, check
בְּדִיקָה|bdik<a>|test, check, examination
מִבְדּוֹק|mivd<o>k|drydock, shipyard
לְבַדֵּר|levad<e>r|to entertain, to amuse
לְהִתְבַּדֵּר|lehitbad<e>r|to entertain oneself
בִּידּוּר|bid<u>r|entertainment
לִבְהוֹת|livh<o>t|to stare (at something) (ב־)
לְהִיבָּהֵל|lehibah<e>l|to panic, to be alarmed
לְהַבְהִיל|lehavh<i>l|to scare, to frighten
מְבוֹהָל|mevoh<a>l|terrified, frightened
תַּבְהֵלָה|tavhel<a>|panic (lit.)
לְהַבְהִיל|lehavh<i>l|to rush, to bring urgently (a patient to a hospital, etc.)
בְּהֵמָה|behem<a>|beast, domestic animal
לִבְהוֹק|livh<o>k|to shine, to glow
לְהַבְהִיק|lehavh<i>k|to shine, to polish
לְהִתְבַּהֵר|lehitbah<e>r|to become clear
לְהַבְהִיר|lehavh<i>r|to clarify
בָּהִיר|bah<i>r|bright, clear; light, pale
לָבוֹא|lav<o>|to come
לְהָבִיא|lehav<i>|to bring
מָבוֹא|mav<o>|introduction, preface; entrance (lit.); alley, side street (lit.)
בְּווַדַּאי|bevad<a>y|certainly, definitely, of course
לָבוּז|lav<u>z|to scorn, to despise someone (ל־)
לְהָבִיךְ|lehav<i>ch|to embarrass, to confound
מָבוֹךְ|mav<o>ch|maze, labyrinth
מְבוּכָה|mevuch<a>|embarrassment, confusion
לְהִיבּוֹךְ|lehib<o>ch|to be embarrassed, confused
בּוּל|b<u>l|stamp (postage)
לְהִתְבּוֹסֵס|lehitbos<e>s|to wallow, to roll in
לְהָבִיס|lehav<i>s|to defeat
בּוּרְסָה|burs<a>|stock exchange, trading venue
לְבוֹשֵׁשׁ|levosh<e>sh|to be late, to be delayed
לֵבוֹשׁ|lev<o>sh|to be ashamed
לְבַזְבֵּז|levazb<e>z|to waste, to squander
לְהִתְבַּזְבֵּז|lehitbazb<e>z|to go waste, to be wasted
לִבְזוֹז|livz<o>z|to loot, to ransack, to plunder
בַּז|b<a>z|falcon
לְבַזּוֹת|levaz<o>t|to degrade, to despise
לְהִתְבַּזּוֹת|lehitbaz<o>t|to abase oneself
בִּזְכוּת|bizch<u>t|thanks to, due to; in favour of
לִבְזוֹק|livz<o>k|to sprinkle
לְהַבְזִיק|lehavz<i>k|to flash, to shine briefly
לְבַזֵּר|levaz<e>r|to disperse, to decentralise
לִבְחוֹל|livch<o>l|to despise, to loathe (ב-)
לְהַבְחִיל|lehavch<i>l|to disgust
לִבְחוֹן|livch<o>n|to examine; to test
לְהַבְחִין|lehavch<i>n|to distinguish, to spot
לְהִיבָּחֵן|lehibach<e>n|to be tested, examined
בּוֹחַן|b<o>chan|test, exam, quiz
מַבְחֵנָה|mavchen<a>|test tube
בְּחִינָה|bchin<a>|examination, investigation
מִבְחָן|mivch<a>n|exam, test
אַבְחָנָה|avchan<a>|diagnosis
הַבְחָנָה|havchan<a>|differentiation, distinguishing
לִבְחוֹר|livch<o>r|to choose
לְהִיבָּחֵר|lehibach<e>r|to be chosen
בְּחִירָה|bchir<a>|choice, selection, election
בָּחוּר|bach<u>r|young man
בַּחוּרָה|bachur<a>|young woman
לִבְחוֹשׁ|livch<o>sh|to stir, to mix
לְהִתְבַּטֵּא|lehitbat<e>|to speak out, to express oneself
מִבְטָא|mivt<a>|accent
לְבַטֵּא|levat<e>|to pronounce, to express, to state
בִּיטָּאוֹן|bita'<o>n|newspaper, journal, organ
לִבְטוֹחַ|livt<o>ach|to trust, to confide (ב-)
לְבַטֵּחַ|levat<e>ach|to insure
לְהַבְטִיחַ|lehavt<i>ach|to ensure, to promise
בֶּטַח|b<e>tach|certainly, of course, for sure (colloquial)
אַבְטָחָה|avtach<a>|protection, security
בִּיטָּחוֹן|bitach<o>n|security, safety
בִּיטּוּחַ|bit<u>ach|insurance
בָּטוּחַ|bat<u>ach|sure; secure
לְהַבְטִיחַ|lehavt<i>ach|promise, ensure, assure
בִּיטּוּי|bit<u>y|expression, phrase, idiom
לְבַטֵּל|levat<e>l|to cancel, to undo
לְהִתְבַּטֵּל|lehitbat<e>l|to idle, to mess around
מוּבְטָל|muvt<a>l|unemployed
אַבְטָלָה|avtal<a>|unemployment
בִּיטּוּל|bit<u>l|cancellation
בַּטְלָן|batl<a>n|idler, loafer; ne'er-do-well
לִבְטוֹל|livt<o>l|to cease to exist, to disappear (lit.)
לְהִתְבַּטֵּל|lehitbat<e>l|to be cancelled, undone; to be self-deprecating; to be idle
בֵּטֶן|b<e>ten|belly, abdomen
בְּיַחַד|bey<a>chad|together
לְבַייֵּל|levay<e>l|to affix stamps
