av|אָב
lehe'anek|לְהֵיאָנֵק
ishiyut|אִישִׁיּוּת
ishi|אִישִׁי
ishit|אִישִׁית
ish|אִישׁ
isha|אִישָּׁה
enosh|אֱנוֹשׁ
ason|אָסוֹן
astronomya|אַסְטְרוֹנוֹמְיָה
asla|אַסְלָה
lehit'aslem|לְהִתְאַסְלֵם
lehe'asef|לְהֵיאָסֵף
lehit'asef|לְהִתְאַסֵּף
osef|אוֹסֶף
asfan|אַסְפָן
le'esof|לֶאֱסוֹף
lehe'aser|לְהֵיאָסֵר
isur|אִיסּוּר
asur|אָסוּר
asir|אָסִיר
le'esor|לֶאֱסוֹר
lehe'afot|לְהֵיאָפוֹת
le'efot|לֶאֱפוֹת
afilu|אֲפִילּוּ
le'afyen|לְאַפְייֵן
lehit'afyen|לְהִתְאַפְייֵן
leha'afil|לְהַאֲפִיל
afel|אָפֵל
afela|אֲפֵלָה
ofna|אוֹפְנָה
ofen|אוֹפֶן
le'afnen|לְאַפְנֵן
le'efos|לֶאֱפוֹס
le'apes|לְאַפֵּס
efes|אֶפֶס
lehit'apes|לְהִתְאַפֵּס
afsi|אַפְסִי
le'efof|לֶאֱפוֹף
af|אַף
ofek|אוֹפֶק
lehit'apek|לְהִתְאַפֵּק
leha'afir|לְהַאֲפִיר
le'aper|לְאַפֵּר
lehit'aper|לְהִתְאַפֵּר
afor|אָפוֹר
lehit'afsher|לְהִתְאַפְשֵׁר
efshar|אֶפְשָׁר
le'afsher|לְאַפְשֵׁר
efsharut|אֶפְשָׁרוּת
efshari|אֶפְשָׁרִי
etzel|אֵצֶל
leha'atzil|לְהַאֲצִיל
otzar|אוֹצָר
le'etzor|לֶאֱצוֹר
lehit'aklem|לְהִתְאַקְלֵם
aruba|אֲרוּבָּה
le'erov|לֶאֱרוֹב
le'erog|לֶאֱרוֹג
lehe'areg|לְהֵיאָרֵג
le'argen|לְאַרְגֵּן
lehit'argen|לְהִתְאַרְגֵּן
irgun|אִירְגּוּן
aron|אָרוֹן
le'eroz|לֶאֱרוֹז
erez|אֶרֶז
ariza|אֲרִיזָה
lehe'arez|לְהֵיאָרֵז
orez|אוֹרֶז
le'areach|לְאָרֵחַ
lehit'areach|לְהִתְאָרֵחַ
oreach|אוֹרֵחַ
arucha|אֲרוּחָה
orach|אוֹרַח
le'erot|לֶאֱרוֹת
arye|אַרְיֵה
le'eroch|לֶאֱרוֹךְ
leha'arich|לְהַאֲרִיךְ
lehit'arech|לְהִתְאָרֵךְ
orech|אוֹרֶךְ
arka|אַרְכָּה
aroch|אָרוֹךְ
armon|אַרְמוֹן
oren|אוֹרֶן
arnav|אַרְנָב
lehit'ares|לְהִתְאָרֵס
le'area|לְאָרֵעַ
erua|אֵירוּעַ
eretz|אֶרֶץ
leha'arik|לְהַאֲרִיק
le'arer|לְאָרֵר
la'or|לָאוֹר
esh|אֵשׁ
eshech|אֶשֶׁךְ
leha'ashim|לְהַאֲשִׁים
lehe'ashem|לְהֵיאָשֵׁם
ashma|אַשְׁמָה
ashem|אָשֵׁם
le'eshom|לֶאְשׁוֹם
eshnav|אֶשְׁנָב
ashaf|אַשָּׁף
le'ashpez|לְאַשְׁפֵּז
lehit'ashpez|לְהִתְאַשְׁפֵּז
le'asher|לְאַשֵּׁר
ishur|אִישּׁוּר
ashur|אָשׁוּר
asher|אֲשֶׁר
me'ushar|מְאוּשָּׁר
osher|אוֹשֶׁר
lehit'oshesh|לְהִתְאוֹשֵׁשׁ
le'oshesh|לְאוֹשֵׁשׁ
le'ashesh|לְאַשֵּׁשׁ
hit'osheshut|הִתְאוֹשְׁשׁוּת
lehit'oshesh|לְהִתְאוֹשֵׁשׁ
et|אֶת
at|אַתְּ
le'atger|לְאַתְגֵּר
me'utgar|מְאוּתְגָּר
ata|אַתָּה
le'atchel|לְאַתְחֵל
atem|אַתֶּם
etmol|אֶתְמוֹל
aten|אַתֶּן
le'ater|לְאַתֵּר
itur|אִיתּוּר
atar|אֲתָר
etrog|אֶתְרוֹג
atat|אַתָּת
be|בְּ־
be'emtza'ut|בְּאֶמְצָעוּת
mevu'as|מְבוּאָס
leva'es|לְבַאֵס
lehitba'es|לְהִתְבָּאֵס
leva'er|לְבָאֵר
lehitba'er|לְהִתְבָּאֵר
be'er|בְּאֵר
beged|בֶּגֶד
lehibaged|לְהִיבָּגֵד
livgod|לִבְגּוֹד
begin|בְּגִין
biglal|בִּגְלַל
hitbagrut|הִתְבַּגְּרוּת
bagrut|בַּגְרוּת
mevugar|מְבוּגָּר
lehitbager|לְהִתְבַּגֵּר
livgor|לִבְגּוֹר
bad|בַּד
livdo|לִבְדּוֹא
levoded|לְבוֹדֵד
lehitboded|לְהִתְבּוֹדֵד
bad|בַּד
levaded|לְבַדֵּד
levad|לְבַד
bedu'i|בֶּדוּאִי
levadeach|לְבַדֵּחַ
lehitbadeach|לְהִתְבַּדֵּחַ
bdicha|בְּדִיחָה
livdot|לִבְדּוֹת
lehibadot|לְהִיבָּדוֹת
bidyon|בִּדְיוֹן
baduy|בָּדוּי
bidyoni|בִּדְיוֹנִי
levadot|לְבַדּוֹת
lehibadel|לְהִיבָּדֵל
lehavdil|לְהַבְדִּיל
levadel|לְבַדֵּל
hevdel|הֶבְדֵּל
havdala|הַבְדָּלָה
lehitbadel|לְהִתְבַּדֵּל
livdok|לִבְדּוֹק
lehibadek|לְהִיבָּדֵק
mivdak|מִבְדָּק
bdika|בְּדִיקָה
mivdok|מִבְדּוֹק
levader|לְבַדֵּר
lehitbader|לְהִתְבַּדֵּר
bidur|בִּידּוּר
livhot|לִבְהוֹת
lehibahel|לְהִיבָּהֵל
lehavhil|לְהַבְהִיל
mevohal|מְבוֹהָל
tavhela|תַּבְהֵלָה
lehavhil|לְהַבְהִיל
behema|בְּהֵמָה
livhok|לִבְהוֹק
lehavhik|לְהַבְהִיק
lehitbaher|לְהִתְבַּהֵר
lehavhir|לְהַבְהִיר
bahir|בָּהִיר
lavo|לָבוֹא
lehavi|לְהָבִיא
mavo|מָבוֹא
bevaday|בְּווַדַּאי
lavuz|לָבוּז
lehavich|לְהָבִיךְ
mavoch|מָבוֹךְ
mevucha|מְבוּכָה
lehiboch|לְהִיבּוֹךְ
bul|בּוּל
lehitboses|לְהִתְבּוֹסֵס
lehavis|לְהָבִיס
bursa|בּוּרְסָה
levoshesh|לְבוֹשֵׁשׁ
levosh|לֵבוֹשׁ
levazbez|לְבַזְבֵּז
lehitbazbez|לְהִתְבַּזְבֵּז
livzoz|לִבְזוֹז
baz|בַּז
levazot|לְבַזּוֹת
lehitbazot|לְהִתְבַּזּוֹת
bizchut|בִּזְכוּת
livzok|לִבְזוֹק
lehavzik|לְהַבְזִיק
levazer|לְבַזֵּר
livchol|לִבְחוֹל
lehavchil|לְהַבְחִיל
livchon|לִבְחוֹן
lehavchin|לְהַבְחִין
lehibachen|לְהִיבָּחֵן
bochan|בּוֹחַן
mavchena|מַבְחֵנָה
bchina|בְּחִינָה
mivchan|מִבְחָן
avchana|אַבְחָנָה
havchana|הַבְחָנָה
livchor|לִבְחוֹר
lehibacher|לְהִיבָּחֵר
bchira|בְּחִירָה
bachur|בָּחוּר
bachura|בַּחוּרָה
livchosh|לִבְחוֹשׁ
lehitbate|לְהִתְבַּטֵּא
mivta|מִבְטָא
levate|לְבַטֵּא
bita'on|בִּיטָּאוֹן
livtoach|לִבְטוֹחַ
levateach|לְבַטֵּחַ
lehavtiach|לְהַבְטִיחַ
betach|בֶּטַח
avtacha|אַבְטָחָה
bitachon|בִּיטָּחוֹן
bituach|בִּיטּוּחַ
batuach|בָּטוּחַ
lehavtiach|לְהַבְטִיחַ
bituy|בִּיטּוּי
levatel|לְבַטֵּל
lehitbatel|לְהִתְבַּטֵּל
muvtal|מוּבְטָל
avtala|אַבְטָלָה
bitul|בִּיטּוּל
batlan|בַּטְלָן
livtol|לִבְטוֹל
lehitbatel|לְהִתְבַּטֵּל
beten|בֵּטֶן
beyachad|בְּיַחַד
levayel|לְבַייֵּל
levayem|לְבַייֵּם
lehavin|לְהָבִין
hitbonenut|הִתְבּוֹנְנוּת
tovana|תּוֹבָנָה
levonen|לְבוֹנֵן
ben|בֵּין
biyun|בִּיּוּן
levayen|לְבַייֵּן
muvan|מוּבָן
lehitbonen|לְהִתְבּוֹנֵן
benoni|בֵּינוֹנִי
benoni|בֵּינוֹנִי
bentayim|בֵּינְתַייִם
beitza|בֵּיצָה
bira|בִּירָה
lehitbayesh|לְהִתְבַּייֵּשׁ
bayshan|בַּייְשָׁן
levayesh|לְבַייֵּשׁ
bayit|בַּיִת
levayet|לְבַייֵּת
beitkneset|בֵּית כְּנֶסֶת
beitsefer|בֵּית סֵפֶר
livkot|לִבְכּוֹת
levakot|לְבַכּוֹת
bachyan|בַּכְייָן
lehitbachyen|לְהִתְבַּכְייֵן
bchor|בְּכוֹר
lehavkir|לְהַבְכִּיר
bachir|בָּכִיר
bilvad|בִּלְבַד
levalbel|לְבַלְבֵּל
lehitbalbel|לְהִתְבַּלְבֵּל
lehavlig|לְהַבְלִיג
balagan|בָּלָגָן
levalgen|לְבַלְגֵּן
lehavliach|לְהַבְלִיחַ
livlot|לִבְלוֹט
lehavlit|לְהַבְלִיט
lehitbalet|לְהִתְבַּלֵּט
balut|בַּלּוּט
balata|בָּלָטָה
lehitbalot|לְהִתְבַּלּוֹת
livlot|לִבְלוֹת
bli|בְּלִי
levalot|לְבַלּוֹת
biluy|בִּילּוּי
lehitbolel|לְהִתְבּוֹלֵל
livlol|לִבְלוֹל
lehibalem|לְהִיבָּלֵם
blima|בְּלִימָה
balam|בַּלָּם
belem|בֶּלֶם
livlom|לִבְלוֹם
livloa|לִבְלוֹעַ
lehibalea|לְהִיבָּלֵעַ
lebalef|לְבַּלֵף
baleshet|בַּלֶּשֶׁת
balash|בַּלָּשׁ
bilush|בִּילּוּשׁ
livlosh|לִבְלוֹשׁ
bamay|בַּמַּאי
bema'amad|בְּמַעֲמַד
bimkom|בִּמְקוֹם
ben|בֵּן
livnot|לִבְנוֹת
lehibanot|לְהִיבָּנוֹת
banay|בַּנַּאי
binuy|בִּינּוּי
muvne|מוּבְנֶה
tavnit|תַּבְנִית
lehavnot|לְהַבְנוֹת
binyan|בִּנְייָן
levases|לְבַסֵּס
lehitbases|לְהִתְבַּסֵּס
bsisa|בְּסִיסָה
mevusas|מְבוּסָּס
basis|בָּסִיס
leva'abea|לְבַעְבֵּעַ
liv'ot|לִבְעוֹט
lehiba'et|לְהִיבָּעֵט
lehiba'ot|לְהִיבָּעוֹת
be'aya|בְּעָיָה
ba'al|בַּעַל
liv'ol|לִבְעוֹל
be'ikvot|בְּעִקְבוֹת
liv'or|לִבְעוֹר
lehav'ir|לְהַבְעִיר
mav'er|מַבְעֵר
leva'er|לְבַעֵר
ba'at|בַּעַת
lehiba'et|לְהִיבָּעֵת
bifnei|בִּפְנֵי
levatzbetz|לְבַצְבֵּץ
levatzea|לְבַצֵּעַ
lehitbatzea|לְהִתְבַּצֵּעַ
bitzua|בִּיצּוּעַ
mivtza|מִבְצָע
livtzoa|לִבְצוֹעַ
bitza|בִּיצָּה
levatzer|לְבַצֵּר
lehitbatzer|לְהִתְבַּצֵּר
lehibatzer|לְהִיבָּצֵר
livtzor|לִבְצוֹר
baki|בָּקִיא
bakbuk|בַּקְבּוּק
bekalut|בְּקַלּוּת
livkoa|לִבְקוֹעַ
levakea|לְבַקֵּעַ
lehibakea|לְהִיבָּקֵעַ
lehitbakea|לְהִתְבַּקֵּעַ
lehavkia|לְהַבְקִיעַ
levaker|לְבַקֵּר
boker|בּוֹקֶר
bakara|בַּקָּרָה
bikur|בִּיקּוּר
bikoret|בִּיקּוֹרֶת
levakesh|לְבַקֵּשׁ
lehitbakesh|לְהִתְבַּקֵּשׁ
bikush|בִּיקּוּשׁ
bakasha|בַּקָּשָׁה
livro|לִבְרוֹא
lehibare|לְהִיבָּרֵא
lehavri|לְהַבְרִיא
havra'a|הַבְרָאָה
bari|בָּרִיא
levare|לְבָרֵא
bri'ut|בְּרִיאוּת
levarber|לְבַרְבֵּר
lehitbarber|לְהִתְבַּרְבֵּר
lehavrig|לְהַבְרִיג
boreg|בּוֹרֶג
mavreg|מַבְרֵג
lehitbareg|לְהִתְבָּרֵג
lehavriz|לְהַבְרִיז
barzel|בַּרְזֶל
livroach|לִבְרוֹחַ
lehavriach|לְהַבְרִיחַ
brit|בְּרִית
lehitbaryen|לְהִתְבַּרְייֵן
levarech|לְבָרֵךְ
lehitbarech|לְהִתְבָּרֵךְ
bracha|בְּרָכָה
baruch|בָּרוּךְ
berech|בֶּרֶךְ
lehavrik|לְהַבְרִיק
havraka|הַבְרָקָה
barak|בָּרָק
mivrak|מִבְרָק
livrok|לִבְרוֹק
barur|בָּרוּר
levarer|לְבָרֵר
lehitbarer|לְהִתְבָּרֵר
brera|בְּרֵירָה
lavor|לָבוֹר
bareran|בַּרְרָן
muvrar|מוּבְרָר
lehavrish|לְהַבְרִישׁ
bishvil|בִּשְׁבִיל
livshol|לִבְשׁוֹל
levashel|לְבַשֵּׁל
lehavshil|לְהַבְשִׁיל
lehitbashel|לְהִתְבַּשֵּׁל
bishul|בִּישּׁוּל
bashel|בָּשֵׁל
levasem|לְבַשֵּׂם
lehitbasem|לְהִתְבַּשֵּׂם
bosem|בּוֹשֶׂם
beshem|בְּשֵׁם
levaser|לְבַשֵּׂר
basar|בָּשָׂר
bsari|בְּשָׂרִי
lehitbaser|לְהִתְבַּשֵּׂר
bat|בַּת
betoch|בְּתוֹךְ
levatek|לְבַתֵּק
levater|לְבַתֵּר
ga'ava|גַּאֲווָה
lig'ot|לִגְאוֹת
lehitga'ot|לְהִתְגָּאוֹת
ge'e|גֵּאֶה
ga'on|גָּאוֹן
lig'ol|לִגְאוֹל
lehiga'el|לְהִיגָּאֵל
ge'ula|גְּאוּלָּה
legabev|לְגַבֵּב
gav|גַּב
gaba|גַּבָּה
ligboah|לִגְבּוֹהַּ
lehagbiah|לְהַגְבִּיהַּ
govah|גּוֹבַהּ
gavoah|גָּבוֹהַּ
ligbot|לִגְבּוֹת
legabot|לְגַבּוֹת
lehigavot|לְהִיגָּבוֹת
gibuy|גִּיבּוּי
lehagbil|לְהַגְבִּיל
hagbala|הַגְבָּלָה
gvul|גְּבוּל
ligbol|לִגְבּוֹל
gvina|גְּבִינָה
gaban|גַּבָּן
geves|גֶּבֶס
legabes|לְגַבֵּס
giv'a|גִּבְעָה
geva|גֶּבַע
ligbor|לִגְבּוֹר
lehagbir|לְהַגְבִּיר
gibor|גִּיבּוֹר
hitgabrut|הִתְגַּבְּרוּת
gever|גֶּבֶר
gvartan|גְּבַרְתָּן
gvura|גְּבוּרָה
lehitgaber|לְהִתְגַּבֵּר
legabesh|לְגַבֵּשׁ
lehitgabesh|לְהִתְגַּבֵּשׁ
gibush|גִּיבּוּשׁ
legagel|לְגַגֵּל
lehitgoded|לְהִתְגּוֹדֵד
ligdod|לִגְדּוֹד
gdi|גְּדִי
lehagdil|לְהַגְדִּיל
ligdol|לִגְדּוֹל
legadel|לְגַדֵּל
gdila|גְּדִילָה
migdal|מִגְדָּל
hagdala|הַגְדָּלָה
godel|גּוֹדֶל
magdelet|מַגְדֶּלֶת
gadol|גָּדוֹל
agudal|אֲגוּדָל
gidul|גִּידּוּל
ligdom|לִגְדּוֹם
lehigadem|לְהִיגָּדֵם
ligdoa|לִגְדּוֹעַ
legadef|לְגַדֵּף
giduf|גִּידּוּף
legader|לְגַדֵּר
lehagdir|לְהַגְדִּיר
migdar|מִגְדָּר
hagdara|הַגְדָּרָה
gader|גָּדֵר
ligdor|לִגְדּוֹר
lehitgader|לְהִתְגַּדֵּר
lehagdish|לְהַגְדִּישׁ
ligdosh|לִגְדּוֹשׁ
legahetz|לְגַהֵץ
maghetz|מַגְהֵץ
legahek|לְגַהֵק
lighor|לִגְהוֹר
gev|גֵּו
lehagiv|לְהָגִיב
tguva|תְּגוּבָה
mugaz|מוּגָז
lehigoz|לְהִיגּוֹז
legaven|לְגַווֵּן
gaven|גָּווֶן
ligvoa|לִגְווֹעַ
guf|גּוּף
lehagif|לְהָגִיף
gufa|גּוּפָה
lagur|לָגוּר
lehitgorer|לְהִתְגּוֹרֵר
ligzoz|לִגְזוֹז
lehigazez|לְהִיגָּזֵז
ligzol|לִגְזוֹל
lehigazel|לְהִיגָּזֵל
ligzom|לִגְזוֹם
lehigazem|לְהִיגָּזֵם
lehagzim|לְהַגְזִים
giz'i|גִּזְעִי
geza|גֶּזַע
giz'an|גִּזְעָן
giz'anut|גִּזְעָנוּת
lehigazer|לְהִיגָּזֵר
nigzar|נִגְזָר
gazir|גָּזִיר
gizra|גִּזְרָה
gezer|גֶּזֶר
gizaron|גִּיזָּרוֹן
ligzor|לִגְזוֹר
ligchoch|לִגְחוֹךְ
legachech|לְגַחֵךְ
lehagchich|לְהַגְחִיךְ
meguchach|מְגוּחָךְ
ligchon|לִגְחוֹן
ge'ometrya|גֵּיאוֹמֶטְרְיָה
lehagiach|לְהָגִיחַ
lagil|לָגִיל
legayes|לְגַייֵּס
lehitgayes|לְהִתְגַּייֵּס
giyus|גִּיּוּס
legayer|לְגַייֵּר
lehitgayer|לְהִתְגַּייֵּר
giyur|גִּיּוּר
legalgel|לְגַלְגֵּל
lehitgalgel|לְהִתְגַּלְגֵּל
galgal|גַּלְגָּל
gulgolet|גּוּלְגּוֹלֶת
lehaglid|לְהַגְלִיד
glida|גְּלִידָה
legaleach|לְגַלֵּחַ
lehitgaleach|לְהִתְגַּלֵּחַ
giluach|גִּילּוּחַ
legalot|לְגַלּוֹת
lehitgalot|לְהִתְגַּלּוֹת
liglot|לִגְלוֹת
lehigalot|לְהִיגָּלוֹת
lehaglot|לְהַגְלוֹת
gluya|גְּלוּיָה
taglit|תַּגְלִית
galut|גָּלוּת
galuy|גָּלוּי
giluy|גִּילּוּי
legolel|לְגוֹלֵל
lehitgolel|לְהִתְגּוֹלֵל
gal|גַּל
glula|גְּלוּלָה
megila|מְגִילָּה
liglol|לִגְלוֹל
lehigol|לְהִיגּוֹל
legalem|לְגַלֵּם
lehitgalea|לְהִתְגַּלֵּעַ
legalef|לְגַלֵּף
taglif|תַּגְלִיף
glufa|גְּלוּפָה
liglosh|לִגְלוֹשׁ
lehitgalesh|לְהִתְגַּלֵּשׁ
gam|גַּם
ligmo|לִגְמוֹא
gome|גּוֹמֶא
legamgem|לְגַמְגֵּם
legamed|לְגַמֵּד
lehitgamed|לְהִתְגַּמֵּד
lehigamel|לְהִיגָּמֵל
gamal|גָּמָל
gamal|גַּמָּל
tagmul|תַּגְמוּל
ligmol|לִגְמוֹל
ligmor|לִגְמוֹר
lehigamer|לְהִיגָּמֵר
lehagmish|לְהַגְמִישׁ
lignov|לִגְנוֹב
lehiganev|לְהִיגָּנֵב
lehagniv|לְהַגְנִיב
gneva|גְּנֵיבָה
lehitganev|לְהִתְגַּנֵּב
legander|לְגַנְדֵּר
lehitgander|לְהִתְגַּנְדֵּר
lehiganez|לְהִיגָּנֵז
lignoz|לִגְנוֹז
lignoach|לִגְנוֹחַ
leganot|לְגַנּוֹת
legonen|לְגוֹנֵן
lehitgonen|לְהִתְגּוֹנֵן
lehagen|לְהָגֵן
gan|גַּן
ganan|גַּנָּן
lagon|לָגוֹן
magen|מָגֵן
leganen|לְגַנֵּן
ligsos|לִגְסוֹס
gas|גַּס
lega'agea|לְגַעְגֵּעַ
lehitga'agea|לְהִתְגַּעְגֵּעַ
gi'agua|גִּיעְגּוּעַ
ga'agu'im|גַּעְגּוּעִים
lig'ot|לִגְעוֹת
lehag'il|לְהַגְעִיל
lig'ol|לִגְעוֹל
lig'or|לִגְעוֹר
lig'osh|לִגְעוֹשׁ
gefen|גֶּפֶן
legapef|לְגַפֵּף
ligrov|לִגְרוֹב
gerev|גֶּרֶב
